blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier
ETH,USDC/USDT,Uniswap,USDC,416488,0.0931,288104,0.18539999999999998,511.70%,(20x)
ETH,USDC/USDT,Uniswap,USDT,389641,0.153,294948,0.3053,511.70%,(20x)
ETH,IMX/ETH,Uniswap,IMX,239712,0.048600000000000004,185647,0.0708,786.51%,(5x)
ETH,IMX/ETH,Uniswap,ETH,412299,0.1155,298538,0.2108,786.51%,(5x)
ETH,DPI/ETH,Uniswap,DPI,108719,0.2014,55135,0.2896,276.08%,(10x)
ETH,DPI/ETH,Uniswap,ETH,279300,0.001,68890,0.0029,276.08%,(10x)
ETH,LINK/ETH,Uniswap,LINK,62024,0.0187,45583,0.0318,259.83%,(5x)
ETH,LINK/ETH,Uniswap,ETH,126239,0.0021,54663,0.0062,259.83%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,205379,0.0009,58717,0.0040999999999999995,335.72%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,68099,0.042300000000000004,41090,0.09949999999999999,335.72%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,170304,0.0003,32910,0.0021,583.01%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,94110,0.0308,37766,0.11800000000000001,583.01%,(10x)
ETH,USDC/ETH,Uniswap,USDC,40818,0.027200000000000002,34193,0.1175,608.85%,(5x)
ETH,USDC/ETH,Uniswap,ETH,164634,0.0060999999999999995,43553,0.0287,608.85%,(5x)
ETH,DAI/ETH,Uniswap,DAI,57644,0.0024,28248,0.0060999999999999995,378.09%,(5x)
ETH,DAI/ETH,Uniswap,ETH,123260,0.0007000000000000001,31942,0.0032,378.09%,(5x)
ETH,UNI/ETH,Uniswap,UNI,79437,0.0007000000000000001,20694,0.0034000000000000002,427.75%,(5x)
ETH,UNI/ETH,Uniswap,ETH,34504,0.0175,25796,0.0245,427.75%,(5x)
ETH,ETH/CRV,Uniswap,ETH,11918,0.1501,11949,0.18760000000000002,-154.13%,(5x)
ETH,ETH/CRV,Uniswap,CRV,28997,0.5159,20373,0.9406,-154.13%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,25106,0.1005,13818,0.24350000000000002,687.27%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,92018,0.0003,16062,0.0025,687.27%,(5x)
ETH,COMP/ETH,Uniswap,COMP,12419,0.0192,12434,0.0286,463.42%,(5x)
ETH,COMP/ETH,Uniswap,ETH,55189,0.0008,14233,0.0037,463.42%,(5x)
ETH,AAVE/ETH,Uniswap,AAVE,23238,0.0016,8057,0.005699999999999999,768.65%,(5x)
ETH,AAVE/ETH,Uniswap,ETH,131426,0.0,7870,0.0009,768.65%,(5x)
ETH,CEL/ETH,Uniswap,CEL,13395,0.0641,3800,0.2898,0.96%,(5x)
ETH,CEL/ETH,Uniswap,ETH,11736,0.0019,10378,0.0058,0.96%,(5x)
ETH,YFI/ETH,Uniswap,YFI,17955,0.0003,2972,0.0024,33.82%,(5x)
ETH,YFI/ETH,Uniswap,ETH,7557,0.0054,4252,0.012,33.82%,(5x)
