blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,57680.0,0.49479999999999996,45446.0,0.8588,0xa00d47b4b304792eb07b09233467b690db847c91,350.14%,(5x)
ETH,IMX/ETH,Uniswap,ETH,192749.0,0.0068000000000000005,155732.0,0.0095,0xa00d47b4b304792eb07b09233467b690db847c91,350.14%,(5x)
ETH,USDC/USDT,Uniswap,USDC,213795.0,0.0006,52069.0,0.0031,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,135.66%,(20x)
ETH,USDC/USDT,Uniswap,USDT,82383.0,0.0575,52125.0,0.1137,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,135.66%,(20x)
ETH,DPI/ETH,Uniswap,DPI,33292.0,0.0037,20343.0,0.0076,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,56.46%,(10x)
ETH,DPI/ETH,Uniswap,ETH,136409.0,0.0004,26592.0,0.0024,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,56.46%,(10x)
ETH,WBTC/ETH,Uniswap,WBTC,37949.0,0.0029,20413.0,0.0067,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,36.38%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,49603.0,0.0019,21431.0,0.0054,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,36.38%,(10x)
ETH,USDC/ETH,Uniswap,USDC,51903.0,0.2006,33775.0,0.3549,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,60.00%,(5x)
ETH,USDC/ETH,Uniswap,ETH,55780.0,0.002,24771.0,0.005600000000000001,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,60.00%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,13289.0,0.0375,9362.0,0.0667,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,172.31%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,27806.0,0.0034000000000000002,19620.0,0.0078000000000000005,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,172.31%,(5x)
ETH,LINK/ETH,Uniswap,LINK,14281.0,0.0002,2110.0,0.0021,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,86.00%,(5x)
ETH,LINK/ETH,Uniswap,ETH,70147.0,0.0002,11121.0,0.0021,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,86.00%,(5x)
ETH,DAI/ETH,Uniswap,DAI,10137.0,0.0236,6896.0,0.0434,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,100.33%,(5x)
ETH,DAI/ETH,Uniswap,ETH,75379.0,0.0,4374.0,0.0007000000000000001,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,100.33%,(5x)
ETH,CEL/ETH,Uniswap,CEL,7591.0,0.0006,1765.0,0.0033,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,91.98%,(5x)
ETH,CEL/ETH,Uniswap,ETH,7241.0,0.04769999999999999,4803.0,0.09029999999999999,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,91.98%,(5x)
ETH,YFI/ETH,Uniswap,YFI,18274.0,0.0003,3026.0,0.0024,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,53.79%,(5x)
ETH,YFI/ETH,Uniswap,ETH,2617.0,0.04,2621.0,0.05,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,53.79%,(5x)
ETH,UNI/ETH,Uniswap,UNI,4314.0,0.0008,1235.0,0.0036,0xd3d2e2692501a5c9ca623199d38826e513033a17,24.91%,(5x)
ETH,UNI/ETH,Uniswap,ETH,19282.0,0.0013,2951.0,0.010700000000000001,0xd3d2e2692501a5c9ca623199d38826e513033a17,24.91%,(5x)
ETH,ETH/CRV,Uniswap,ETH,7454.0,0.0001,766.83,0.0015,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,276.85%,(5x)
ETH,ETH/CRV,Uniswap,CRV,7142.0,0.0004,1391.0,0.0028000000000000004,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,276.85%,(5x)
ETH,COMP/ETH,Uniswap,COMP,966.63,0.04,966.91,0.05,0xcffdded873554f362ac02f8fb1f02e5ada10516f,18.29%,(5x)
ETH,COMP/ETH,Uniswap,ETH,33564.0,0.0,1139.0,0.0005,0xcffdded873554f362ac02f8fb1f02e5ada10516f,18.29%,(5x)
ETH,ETH/USDT,Uniswap,ETH,1579.0,0.0137,739.27,0.0368,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,110.54%,(5x)
ETH,ETH/USDT,Uniswap,USDT,11551.0,0.0054,1249.0,0.06280000000000001,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,110.54%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,8819.0,0.0,1056.0,0.0008,0x819f3450da6f110ba6ea52195b3beafa246062de,61.65%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,31653.0,0.0,601.45,0.0003,0x819f3450da6f110ba6ea52195b3beafa246062de,61.65%,(5x)
ETH,AAVE/ETH,Uniswap,AAVE,11211.0,0.0,586.36,0.0007000000000000001,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,82.36%,(5x)
ETH,AAVE/ETH,Uniswap,ETH,80215.0,0.0,629.31,0.0001,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,82.36%,(5x)
ETH,SNX/ETH,Uniswap,SNX,1645.0,0.0,1.01,0.0001,0x43ae24960e5534731fc831386c07755a2dc33d47,161.91%,(5x)
ETH,SNX/ETH,Uniswap,ETH,424.64,0.0,1.61,0.0001,0x43ae24960e5534731fc831386c07755a2dc33d47,161.91%,(5x)
MATIC,MATIC/WETH,SushiSwap,MATIC,525378.0,0.0784,436202.0,0.1211,0xcb8f6c44c85f4a55f243df1d1f339a52a452aca5,109.33%,(10x)
MATIC,MATIC/WETH,SushiSwap,WETH,481589.0,0.053,329483.0,0.0873,0xcb8f6c44c85f4a55f243df1d1f339a52a452aca5,109.33%,(10x)
MATIC,MATIC/WETH,QuickSwapNew,MATIC,392074.0,0.11130000000000001,295057.0,0.1788,0x1714f3d4c4654bd5afd0ff2590d23b053e0bea81,111.23%,(10x)
MATIC,MATIC/WETH,QuickSwapNew,WETH,438123.0,0.0812,298150.0,0.1274,0x1714f3d4c4654bd5afd0ff2590d23b053e0bea81,111.23%,(10x)
MATIC,USDC/JPYC,QuickSwap,USDC,272505.0,0.121,216881.0,0.1697,0x205995421c72dc223f36bbfad78b66eea72d2677,59.62%,(10x)
MATIC,USDC/JPYC,QuickSwap,JPYC,252457.0,0.1137,200116.0,0.1681,0x205995421c72dc223f36bbfad78b66eea72d2677,59.62%,(10x)
MATIC,WBTC/pBTC,QuickSwap,WBTC,407262.0,0.067,299277.0,0.10679999999999999,0xe1ad5d74f3fede7ec63fec63d4bafe9afbf09edb,35.82%,(20x)
MATIC,WBTC/pBTC,QuickSwap,pBTC,142248.0,0.1125,99323.0,0.1902,0xe1ad5d74f3fede7ec63fec63d4bafe9afbf09edb,35.82%,(20x)
MATIC,MATIC/USDC,QuickSwapNew,MATIC,207840.0,0.1195,159654.0,0.1868,0xe74189ce423345967ef5a646316ece52bb2fbfc9,173.28%,(5x)
MATIC,MATIC/USDC,QuickSwapNew,USDC,296220.0,0.0986,207705.0,0.1646,0xe74189ce423345967ef5a646316ece52bb2fbfc9,173.28%,(5x)
MATIC,MAI/USDT,QuickSwap,MAI,273731.0,0.0857,136601.0,0.1322,0xc3a4c0677b033bf6e9a4e22f930f1d60c5cd2c86,-50.81%,(20x)
MATIC,MAI/USDT,QuickSwap,USDT,227282.0,0.1199,135951.0,0.1963,0xc3a4c0677b033bf6e9a4e22f930f1d60c5cd2c86,-50.81%,(20x)
MATIC,MATIC/USDT,QuickSwapNew,MATIC,150193.0,0.1321,113138.0,0.1979,0x14a49b53b62f7037814d4f5cab8c92f185d045b0,183.35%,(5x)
MATIC,MATIC/USDT,QuickSwapNew,USDT,248131.0,0.1211,150167.0,0.20350000000000001,0x14a49b53b62f7037814d4f5cab8c92f185d045b0,183.35%,(5x)
MATIC,DAI/MAI,QuickSwap,DAI,154732.0,0.1189,123027.0,0.17309999999999998,0x6d59c06a7f96a508310a76da84db397819e29c62,-4.54%,(20x)
MATIC,DAI/MAI,QuickSwap,MAI,186317.0,0.0781,122924.0,0.10619999999999999,0x6d59c06a7f96a508310a76da84db397819e29c62,-4.54%,(20x)
MATIC,USDC/USDT,QuickSwap,USDC,113643.0,0.0986,113643.0,0.1514,0x3e115a3af5a58c73571586468b0f5d08bfe9dab1,-40.10%,(20x)
MATIC,USDC/USDT,QuickSwap,USDT,151171.0,0.1288,112017.0,0.1783,0x3e115a3af5a58c73571586468b0f5d08bfe9dab1,-40.10%,(20x)
MATIC,WBTC/WETH,SushiSwap,WBTC,131535.0,0.053,109613.0,0.0825,0x7da257e84f233c9d05959f923c797585549bb3cb,52.23%,(10x)
MATIC,WBTC/WETH,SushiSwap,WETH,131187.0,0.0919,102488.0,0.13720000000000002,0x7da257e84f233c9d05959f923c797585549bb3cb,52.23%,(10x)
MATIC,USDC/DAI,SushiSwap,USDC,113371.0,0.0659,91293.0,0.11810000000000001,0x542ccc962097b184ca12a46030d967a735342cf8,85.35%,(20x)
MATIC,USDC/DAI,SushiSwap,DAI,123832.0,0.1011,92285.0,0.165,0x542ccc962097b184ca12a46030d967a735342cf8,85.35%,(20x)
MATIC,IMX/WETH,QuickSwap,IMX,104323.0,0.5065,71980.0,0.8338,0x8ce3bf56767dd87e87487f3fae63e557b821ea32,134.72%,(5x)
MATIC,IMX/WETH,QuickSwap,WETH,123260.0,0.0547,84934.0,0.1045,0x8ce3bf56767dd87e87487f3fae63e557b821ea32,134.72%,(5x)
MATIC,WBTC/WETH,QuickSwap,WBTC,96481.0,0.059500000000000004,75690.0,0.0931,0x8f7f8a534f6a7d57fbda855cf3588eb1edc4508b,40.58%,(10x)
MATIC,WBTC/WETH,QuickSwap,WETH,93713.0,0.0754,74499.0,0.1183,0x8f7f8a534f6a7d57fbda855cf3588eb1edc4508b,40.58%,(10x)
MATIC,USDC/USDT,SushiSwap,USDC,70917.0,0.12029999999999999,58349.0,0.1902,0x9b2f10eae09fad574b3f76b977c06634a4ec3a46,-61.47%,(20x)
MATIC,USDC/USDT,SushiSwap,USDT,91620.0,0.071,58119.0,0.1351,0x9b2f10eae09fad574b3f76b977c06634a4ec3a46,-61.47%,(20x)
MATIC,WETH/gOHM,SushiSwap,WETH,86875.0,0.11779999999999999,51085.0,0.17489999999999997,0x3df6b9fddb088d0b367acf32f2975b6613de87a9,401.52%,(5x)
MATIC,WETH/gOHM,SushiSwap,gOHM,182405.0,0.0083,40016.0,0.014499999999999999,0x3df6b9fddb088d0b367acf32f2975b6613de87a9,401.52%,(5x)
MATIC,WETH/MVI,SushiSwap,WETH,54699.0,0.0758,44059.0,0.13,0xa13c38e12b1d516634dcfeb80abe620aedfcf0d0,123.07%,(10x)
MATIC,WETH/MVI,SushiSwap,MVI,73431.0,0.0408,44220.0,0.08039999999999999,0xa13c38e12b1d516634dcfeb80abe620aedfcf0d0,123.07%,(10x)
MATIC,WETH/DPI,QuickSwap,WETH,56049.0,0.061399999999999996,45622.0,0.0946,0xd83a3ddc19a651f79970291d71b41be5509e7c66,48.06%,(10x)
MATIC,WETH/DPI,QuickSwap,DPI,106959.0,0.0022,42372.0,0.0053,0xd83a3ddc19a651f79970291d71b41be5509e7c66,48.06%,(10x)
MATIC,USDC/WETH,SushiSwap,USDC,42883.0,0.0719,39475.0,0.1166,0xbb7ccc9c0f72fb91dee7053c652e961117db4368,120.52%,(5x)
MATIC,USDC/WETH,SushiSwap,WETH,48112.0,0.1182,32981.0,0.1636,0xbb7ccc9c0f72fb91dee7053c652e961117db4368,120.52%,(5x)
MATIC,WETH/PNT,QuickSwap,WETH,98661.0,0.1653,64201.0,0.2965,0x1e987756305c6506a8687e6ceb85872c48ceaa3b,172.30%,(5x)
MATIC,WETH/PNT,QuickSwap,PNT,3899.0,0.2141,2989.0,0.3786,0x1e987756305c6506a8687e6ceb85872c48ceaa3b,172.30%,(5x)
MATIC,ETH2x-FLI-P/WETH,SushiSwap,ETH2x-FLI-P,65802.0,0.0695,37233.0,0.13,0xff2b9ada14f0e8002f8389497b86bfeca63e8f58,108.50%,(5x)
MATIC,ETH2x-FLI-P/WETH,SushiSwap,WETH,60741.0,0.0843,47234.0,0.1308,0xff2b9ada14f0e8002f8389497b86bfeca63e8f58,108.50%,(5x)
MATIC,USDC/WETH,QuickSwap,USDC,22754.0,0.0874,22754.0,0.175,0xc380e7fa325e1708e9e6ef4d9bed2cd806fcb328,109.85%,(5x)
MATIC,USDC/WETH,QuickSwap,WETH,23318.0,0.081,16187.0,0.12789999999999999,0xc380e7fa325e1708e9e6ef4d9bed2cd806fcb328,109.85%,(5x)
MATIC,LINK/WETH,QuickSwap,LINK,29385.0,0.0146,18730.0,0.0091,0x0c7feaa175f62779be13cdd4fe878e55ee70179e,118.31%,(10x)
MATIC,LINK/WETH,QuickSwap,WETH,25111.0,0.1216,18820.0,0.1857,0x0c7feaa175f62779be13cdd4fe878e55ee70179e,118.31%,(10x)
MATIC,MATIC/WETH,QuickSwap,MATIC,29429.0,0.0019,20213.0,0.0054,0x2383b93cfa6ddd9a7b35ddffd8d527e7ab80b920,125.19%,(10x)
MATIC,MATIC/WETH,QuickSwap,WETH,19151.0,0.0736,12960.0,0.1226,0x2383b93cfa6ddd9a7b35ddffd8d527e7ab80b920,125.19%,(10x)
MATIC,CRV/WETH,SushiSwap,CRV,21426.0,0.0379,15350.0,0.0504,0x9039b60eee1adbd2697a0ffb558f879c0b5d87bb,169.49%,(10x)
MATIC,CRV/WETH,SushiSwap,WETH,20900.0,0.1466,14886.0,0.20370000000000002,0x9039b60eee1adbd2697a0ffb558f879c0b5d87bb,169.49%,(10x)
MATIC,MATIC/WCRO,QuickSwap,MATIC,16514.0,0.08460000000000001,11193.0,0.154,0xc753c8e920a6c35315da5d15e8cfcd5b014fd280,139.93%,(5x)
MATIC,MATIC/WCRO,QuickSwap,WCRO,20802.0,0.0742,11270.0,0.1112,0xc753c8e920a6c35315da5d15e8cfcd5b014fd280,139.93%,(5x)
MATIC,WBTC/ibBTC,SushiSwap,WBTC,20745.0,0.0258,16640.0,0.0329,0xba8d0e69773c2f5d385968e42050f23b24b35e36,99.12%,(20x)
MATIC,WBTC/ibBTC,SushiSwap,ibBTC,16408.0,0.1288,13110.0,0.1968,0xba8d0e69773c2f5d385968e42050f23b24b35e36,99.12%,(20x)
MATIC,WETH/UNI,QuickSwap,WETH,13379.0,0.06269999999999999,8902.0,0.12269999999999999,0xb361e254dae512a7bd37f72b926f625f4d39db56,145.99%,(10x)
MATIC,WETH/UNI,QuickSwap,UNI,21464.0,0.004699999999999999,5573.0,0.0034000000000000002,0xb361e254dae512a7bd37f72b926f625f4d39db56,145.99%,(10x)
MATIC,AVAX/WETH,SushiSwap,AVAX,9559.0,0.1278,6358.0,0.2235,0xc2eb7fc0c27b20400e9923a1f4066d8d4a9cd203,173.48%,(10x)
MATIC,AVAX/WETH,SushiSwap,WETH,13885.0,0.048499999999999995,7167.0,0.10060000000000001,0xc2eb7fc0c27b20400e9923a1f4066d8d4a9cd203,173.48%,(10x)
MATIC,DATA/WETH,SushiSwap,DATA,20003.0,0.0066,10933.0,0.0123,0xb343cc2378dcff9a6f81b4eee3d8ecdc88560f6a,128.61%,(5x)
MATIC,DATA/WETH,SushiSwap,WETH,14495.0,0.0897,11539.0,0.16390000000000002,0xb343cc2378dcff9a6f81b4eee3d8ecdc88560f6a,128.61%,(5x)
MATIC,WETH/USDT,QuickSwap,WETH,6443.0,0.1273,4668.0,0.1869,0x2912a338df9877905e54c557e4d826f84365602e,128.23%,(5x)
MATIC,WETH/USDT,QuickSwap,USDT,8214.0,0.0897,5767.0,0.1907,0x2912a338df9877905e54c557e4d826f84365602e,128.23%,(5x)
MATIC,WETH/DAI,QuickSwap,WETH,4104.0,0.1552,3088.0,0.22329999999999997,0x16aed35d0c1f5500b73063b10c0dad42b772ac23,116.40%,(5x)
MATIC,WETH/DAI,QuickSwap,DAI,8627.0,0.1268,6131.0,0.2053,0x16aed35d0c1f5500b73063b10c0dad42b772ac23,116.40%,(5x)
MATIC,SUSHI/WETH,SushiSwap,SUSHI,7753.0,0.0207,3917.0,0.0462,0xb5846453b67d0b4b4ce655930cf6e4129f4416d7,194.76%,(10x)
MATIC,SUSHI/WETH,SushiSwap,WETH,7010.0,0.065,4317.0,0.12359999999999999,0xb5846453b67d0b4b4ce655930cf6e4129f4416d7,194.76%,(10x)
MATIC,QI/WETH,QuickSwap,QI,22066.0,0.0008,2531.0,0.0032,0xb48e8c226facb7ade62ab0ca8588789aaa1428aa,454.58%,(5x)
MATIC,QI/WETH,QuickSwap,WETH,3154.0,0.059800000000000006,1653.0,0.09480000000000001,0xb48e8c226facb7ade62ab0ca8588789aaa1428aa,454.58%,(5x)
MATIC,WETH/IDLE,SushiSwap,WETH,3218.0,0.048799999999999996,2405.0,0.0967,0x44559353f8edb965294c1448333369ca84df6298,156.79%,(5x)
MATIC,WETH/IDLE,SushiSwap,IDLE,4457.0,0.0196,1599.0,0.0603,0x44559353f8edb965294c1448333369ca84df6298,156.79%,(5x)
MATIC,WETH/AAVE,QuickSwap,WETH,1758.0,0.0062,824.02,0.0335,0xc6c866c2c69ff093e14746e6f9dbc7a22e0e6522,52.13%,(10x)
MATIC,WETH/AAVE,QuickSwap,AAVE,6075.0,0.0006,1532.0,0.0032,0xc6c866c2c69ff093e14746e6f9dbc7a22e0e6522,52.13%,(10x)
ARB,ETH/USDC,SushiSwap,ETH,488000.0,0.0278,328053.0,0.0388,0xb0e7ad5053414fde098122b61fd34d816fd6d93f,296.94%,(5x)
ARB,ETH/USDC,SushiSwap,USDC,747774.0,0.053099999999999994,484042.0,0.10490000000000001,0xb0e7ad5053414fde098122b61fd34d816fd6d93f,296.94%,(5x)
ARB,WBTC/ETH,SushiSwap,WBTC,232318.0,0.0735,188829.0,0.11,0x7532a8d8a12bdd871796a07ac90e510b1cc8f694,22.09%,(10x)
ARB,WBTC/ETH,SushiSwap,ETH,280171.0,0.0109,189444.0,0.0175,0x7532a8d8a12bdd871796a07ac90e510b1cc8f694,22.09%,(10x)
ARB,WBTC/ETH,Swapr,WBTC,263103.0,0.049100000000000005,182782.0,0.09230000000000001,0xb8942a1c1bbb90272190269d42c2f1dff2fde3a4,20.25%,(10x)
ARB,WBTC/ETH,Swapr,ETH,311543.0,0.0313,176553.0,0.0794,0xb8942a1c1bbb90272190269d42c2f1dff2fde3a4,20.25%,(10x)
ARB,MAGIC/ETH,SushiSwap,MAGIC,525503.0,0.5784,164111.0,0.9662000000000001,0x88a0b00bbe918ee00e3482f71962070dc052984b,969.71%,(5x)
ARB,MAGIC/ETH,SushiSwap,ETH,155582.0,0.0892,125294.0,0.08109999999999999,0x88a0b00bbe918ee00e3482f71962070dc052984b,969.71%,(5x)
ARB,SPELL/ETH,SushiSwap,SPELL,169490.0,0.0172,43195.0,0.051100000000000007,0x35b44b303eacb71114aa62fe8dae6f9c5de0f680,581.39%,(5x)
ARB,SPELL/ETH,SushiSwap,ETH,173816.0,0.022799999999999997,86335.0,0.041100000000000005,0x35b44b303eacb71114aa62fe8dae6f9c5de0f680,581.39%,(5x)
ARB,ETH/MIM,SushiSwap,ETH,58413.0,0.0111,26790.0,0.0318,0xa6e69dd0c36f3b59539e2c7afd274ef91b5c70f9,416.07%,(5x)
ARB,ETH/MIM,SushiSwap,MIM,122936.0,0.24609999999999999,84211.0,0.3712,0xa6e69dd0c36f3b59539e2c7afd274ef91b5c70f9,416.07%,(5x)
ARB,ETH/IMX,SushiSwap,ETH,121317.0,0.038900000000000004,76729.0,0.0723,0xb7e5e74b52b9ada1042594cfd8abbdee506cc6c5,327.95%,(5x)
ARB,ETH/IMX,SushiSwap,IMX,76678.0,0.0567,33844.0,0.1574,0xb7e5e74b52b9ada1042594cfd8abbdee506cc6c5,327.95%,(5x)
ARB,ETH/USDT,SushiSwap,ETH,70342.0,0.0286,42936.0,0.0313,0x95c9bf3f60cbc2be8e148fae82f26930bfcd1839,269.99%,(5x)
ARB,ETH/USDT,SushiSwap,USDT,80397.0,0.2146,65202.0,0.3307,0x95c9bf3f60cbc2be8e148fae82f26930bfcd1839,269.99%,(5x)
ARB,ETH/USDC,Swapr,ETH,69540.0,0.0327,45589.0,0.0647,0x82cde182702841dab46916738207123fe535909f,126.25%,(5x)
ARB,ETH/USDC,Swapr,USDC,91088.0,0.057,57449.0,0.1506,0x82cde182702841dab46916738207123fe535909f,126.25%,(5x)
ARB,ETH/SUSHI,SushiSwap,ETH,58458.0,0.061200000000000004,36966.0,0.1059,0x092162807896509afe042b7f839ab30e1ca11670,69.50%,(5x)
ARB,ETH/SUSHI,SushiSwap,SUSHI,58251.0,0.09849999999999999,44773.0,0.1604,0x092162807896509afe042b7f839ab30e1ca11670,69.50%,(5x)
