blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,68805.0,0.014499999999999999,42266.0,0.0059,0xa00d47b4b304792eb07b09233467b690db847c91,762.71%,(5x)
ETH,IMX/ETH,Uniswap,ETH,148332.0,0.0407,118469.0,0.0582,0xa00d47b4b304792eb07b09233467b690db847c91,762.71%,(5x)
ETH,USDC/USDT,Uniswap,USDC,210161.0,0.0075,49486.0,0.0034999999999999996,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0.14%,(20x)
ETH,USDC/USDT,Uniswap,USDT,77118.0,0.22699999999999998,51275.0,0.3011,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0.14%,(20x)
ETH,USDC/ETH,Uniswap,USDC,64721.0,0.060599999999999994,35770.0,0.1459,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,28.15%,(5x)
ETH,USDC/ETH,Uniswap,ETH,56510.0,0.0021,26316.0,0.005600000000000001,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,28.15%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,27323.0,0.005600000000000001,20448.0,0.009399999999999999,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,18.69%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,50247.0,0.0019,21718.0,0.0054,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,18.69%,(10x)
ETH,DPI/ETH,Uniswap,DPI,26555.0,0.004699999999999999,18150.0,0.0085,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,29.21%,(10x)
ETH,DPI/ETH,Uniswap,ETH,136167.0,0.0004,26939.0,0.0025,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,29.21%,(10x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,15710.0,0.0375,11102.0,0.0667,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,7.90%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,19958.0,0.0434,19980.0,0.0542,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,7.90%,(5x)
ETH,LINK/ETH,Uniswap,LINK,2753.0,0.0001,970.06,0.0015,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,34.13%,(5x)
ETH,LINK/ETH,Uniswap,ETH,68354.0,0.0002,9728.0,0.002,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,34.13%,(5x)
ETH,DAI/ETH,Uniswap,DAI,9948.0,0.0048,3211.0,0.0087,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,44.42%,(5x)
ETH,DAI/ETH,Uniswap,ETH,76341.0,0.0,1581.0,0.0007000000000000001,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,44.42%,(5x)
ETH,YFI/ETH,Uniswap,YFI,10174.0,0.0003,1747.0,0.0024,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,85.19%,(5x)
ETH,YFI/ETH,Uniswap,ETH,2662.0,0.04,2669.0,0.05,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,85.19%,(5x)
ETH,CEL/ETH,Uniswap,CEL,3411.0,0.0006,803.39,0.0034000000000000002,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,4.50%,(5x)
ETH,CEL/ETH,Uniswap,ETH,3878.0,0.06509999999999999,3883.0,0.0814,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,4.50%,(5x)
ETH,UNI/ETH,Uniswap,UNI,3358.0,0.0008,961.79,0.0036,0xd3d2e2692501a5c9ca623199d38826e513033a17,11.40%,(5x)
ETH,UNI/ETH,Uniswap,ETH,19531.0,0.0013,2992.0,0.010700000000000001,0xd3d2e2692501a5c9ca623199d38826e513033a17,11.40%,(5x)
ETH,COMP/ETH,Uniswap,COMP,565.18,0.04,565.96,0.05,0xcffdded873554f362ac02f8fb1f02e5ada10516f,-10.11%,(5x)
ETH,COMP/ETH,Uniswap,ETH,28917.0,0.0,1153.0,0.0006,0xcffdded873554f362ac02f8fb1f02e5ada10516f,-10.11%,(5x)
ETH,ETH/USDT,Uniswap,ETH,1601.0,0.0137,751.71,0.0368,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,35.58%,(5x)
ETH,ETH/USDT,Uniswap,USDT,11546.0,0.0054,1256.0,0.06280000000000001,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,35.58%,(5x)
ETH,AAVE/ETH,Uniswap,AAVE,378.43,0.04,378.67,0.05,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,22.39%,(5x)
ETH,AAVE/ETH,Uniswap,ETH,81239.0,0.0,637.35,0.0001,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,22.39%,(5x)
ETH,ETH/CRV,Uniswap,ETH,2688.0,0.001,20.49,0.0040999999999999995,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,174.60%,(5x)
ETH,ETH/CRV,Uniswap,CRV,4884.0,0.0005,1016.0,0.003,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,174.60%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,7711.0,0.0,42.44,0.0001,0x819f3450da6f110ba6ea52195b3beafa246062de,50.39%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,32057.0,0.0,16.45,0.0,0x819f3450da6f110ba6ea52195b3beafa246062de,50.39%,(5x)
ETH,SNX/ETH,Uniswap,SNX,1662.0,0.0,1.02,0.0001,0x43ae24960e5534731fc831386c07755a2dc33d47,77.77%,(5x)
